rank,skill_name,filename,skill_slug,model_name,model_slug,overall_risk,is_vulnerable,vulnerability_count,cvss_base_score,cvss_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,sars_score,sars_severity,sars_ifr,sars_dg,sars_ai,sars_br,sars_ca,top_finding_category,evaluated_at,error
1,minara,minara.md,minara.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,CRITICAL,True,12,8.9,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:A,Network,Low,Low,Passive,10.0,CRITICAL,3,3,3,3,3,COMMAND/SHELL INJECTION,2026-04-10T14:25:19.706062,
2,capability-evolver,capability-evolver.md,capability-evolver.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,5,8.6,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,8.7,HIGH,3,2,3,2,3,COMMAND/SHELL INJECTION,2026-04-10T02:29:14.198654,
3,capability-evolver,evolver.md,evolver.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,5,8.6,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,8.7,HIGH,3,2,3,2,3,COMMAND/SHELL INJECTION,2026-04-10T02:53:36.006436,
4,ontology,ontology.md,ontology.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,8.6,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,7.4,HIGH,2,2,2,2,3,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T11:56:04.404215,
5,api-gateway,api-gateway.md,api-gateway.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,8.6,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T12:13:27.637741,
6,command-center,command-center.md,command-center.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,8.6,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,7.4,HIGH,2,2,2,2,3,COMMAND/SHELL INJECTION,2026-04-10T16:11:08.098561,
7,tuya-smart-control,tuya-smart-control.md,tuya-smart-control.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,8.4,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T16:17:10.927669,
8,openclaw-backup,openclaw-backup.md,openclaw-backup.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,5,7.5,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T15:57:02.924228,
9,desktop-control.md,desktop-control.md,desktop-control.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,4,7.4,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,None,8.1,HIGH,3,1,3,2,3,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T01:01:49.401400,
10,tiktok-app-marketing,larry.md,larry.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,8.7,HIGH,3,2,3,2,3,COMMAND/SHELL INJECTION,2026-04-10T01:51:51.017211,
11,imap-smtp-email,imap-smtp-email.md,imap-smtp-email.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,9.3,CRITICAL,3,3,3,2,3,COMMAND/SHELL INJECTION,2026-04-10T02:35:04.643726,
12,proactive-agent,proactive-agent.md,proactive-agent.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,Memory Poisoning & Persistence Attacks,2026-04-10T11:43:35.532874,
13,desktop-control,desktop-control.md,desktop-control.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T12:20:18.013120,
14,agent-browser,agent-browser-clawdbot.md,agent-browser-clawdbot.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,7.4,HIGH,2,2,2,2,3,COMMAND/SHELL INJECTION,2026-04-10T12:30:06.803360,
15,stock-analysis,stock-analysis.md,stock-analysis.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T12:59:57.604265,
16,elite-longterm-memory,elite-longterm-memory.md,elite-longterm-memory.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,CRITICAL,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,8.9,HIGH,3,2,2,3,3,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T13:11:06.801590,
17,mcporter,mcporter.md,mcporter.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T13:19:48.725720,
18,ecomseer,ecomseer.md,ecomseer.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T13:23:55.218513,
19,xiaohongshu-mcp,xiaohongshu-mcp.md,xiaohongshu-mcp.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T13:40:01.298113,
20,tiktok-app-marketing,larry.md,larry.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T13:45:52.714631,
21,meitu-skills,meitu-skills.md,meitu-skills.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T14:00:05.836362,
22,playwright-mcp,playwright-mcp.md,playwright-mcp.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T14:12:28.119627,
23,byterover,byterover.md,byterover.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,Command Injection / RCE,2026-04-10T14:16:36.837872,
24,capability-evolver,capability-evolver.md,capability-evolver.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,7.4,HIGH,2,2,2,2,3,Command Injection / RCE,2026-04-10T14:43:35.907163,
25,imap-smtp-email,imap-smtp-email.md,imap-smtp-email.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T14:55:08.919041,
26,browser-use,browser-use.md,browser-use.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,7.4,HIGH,2,2,2,2,3,COMMAND/SHELL INJECTION,2026-04-10T15:07:07.537900,
27,capability-evolver,evolver.md,evolver.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,7.4,HIGH,2,2,2,2,3,Memory Poisoning & Persistence Attacks,2026-04-10T15:27:39.705167,
28,gmail,gmail.md,gmail.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T15:54:12.438218,
29,xiaohongshu,xhs.md,xhs.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,REMOTE CODE EXECUTION / DYNAMIC CODE,2026-04-10T16:35:07.898906,
30,polymarket-pro,polymarket-pro.md,polymarket-pro.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,4,7.4,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,8.7,HIGH,3,2,3,2,3,COMMAND/SHELL INJECTION,2026-04-12T23:25:40.701015,
31,clawdbot-filesystem,clawdbot-filesystem.md,clawdbot-filesystem.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.3,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:L/SC:H/SI:H/SA:L/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T15:31:19.898698,
32,humanize-ai-text,humanize-ai-text.md,humanize-ai-text.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,7.2,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,Command Injection,2026-04-10T13:27:10.021988,
33,edgeone-clawscan,edgeone-clawscan.md,edgeone-clawscan.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,5,7.2,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T14:09:07.544910,
34,memory-manager,memory-manager.md,memory-manager.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.2,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T15:16:32.214663,
35,mx_stocks_screener,mx-stocks-screener.md,mx-stocks-screener.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.2,High,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:H/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T15:23:27.038215,
36,peekaboo,peekaboo.md,peekaboo.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,7.1,High,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:L/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T15:46:21.924860,
37,edgeone-clawscan,edgeone-clawscan.md,edgeone-clawscan.md,mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai_Mixtral-8x7B-Instruct-v0.1,MEDIUM,True,1,6.3,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:L/SA:N/E:A,Network,Low,None,None,5.4,MEDIUM,2,1,2,1,2,MEMORY POISONING & PERSISTENCE ATTACKS (13),2026-04-10T22:11:47.739051,
38,api-gateway,api-gateway.md,api-gateway.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,5.8,Medium,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T00:57:02.609331,
39,peekaboo,peekaboo.md,peekaboo.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,HIGH,True,4,5.8,Medium,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,Passive,8.1,HIGH,3,2,2,2,3,COMMAND/SHELL INJECTION,2026-04-10T03:04:43.925854,
40,n8n-workflow-automation,n8n-workflow-automation.md,n8n-workflow-automation.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,5,5.8,Medium,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:L/SC:H/SI:H/SA:L/E:U,Network,Low,Low,None,5.4,MEDIUM,2,1,2,1,2,PRIVILEGE ESCALATION,2026-04-10T14:19:29.422283,
41,auto-updater,auto-updater.md,auto-updater.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,3,5.7,Medium,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:U,Network,Low,Low,None,5.4,MEDIUM,2,1,2,1,2,DEPENDENCY / SUPPLY CHAIN ATTACKS,2026-04-10T12:02:56.837582,
42,agent-autonomy-kit,agent-autonomy-kit.md,agent-autonomy-kit.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,3,5.7,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:P,Network,Low,Low,None,6.1,MEDIUM,2,1,2,2,2,STATE MANIPULATION,2026-04-10T15:43:01.635422,
43,auto-updater,update.md,update.md,Qwen/Qwen2.5-32B-Instruct,Qwen_Qwen2.5-32B-Instruct,MEDIUM,True,3,5.7,Medium,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:L/VI:H/VA:L/SC:L/SI:H/SA:L/E:U,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,REMOTE CODE EXECUTION / DYNAMIC CODE,2026-04-12T23:40:52.699961,
44,self-improvement,self-improving-agent,self-improving-agent,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,5,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-09T23:37:12.102212,
45,Self-Improving + Proactive Agent,self-improving.md,self-improving.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,5,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,MEMORY POISONING & PERSISTENCE ATTACKS,2026-04-10T11:17:35.821643,
46,nano-banana-pro,nano-banana-pro.md,nano-banana-pro.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,5,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:H/SI:H/SA:N/E:P,Network,Low,Low,Passive,5.9,MEDIUM,2,2,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T12:08:34.002572,
47,admapix,admapix.md,admapix.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.7,MEDIUM,2,2,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T12:54:18.703389,
48,nano-pdf,nano-pdf.md,nano-pdf.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,MEDIUM,True,3,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:P,Network,Low,Low,Passive,5.4,MEDIUM,2,1,2,1,2,COMMAND/SHELL INJECTION,2026-04-10T12:56:44.898846,
49,remotion-video-toolkit,remotion-video-toolkit.md,remotion-video-toolkit.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,5,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T15:40:37.623588,
50,frontend-design-ultimate,frontend-design-ultimate.md,frontend-design-ultimate.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:H/SI:H/SA:H/E:P,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,Command Injection / RCE,2026-04-10T16:31:51.710538,
51,discord,discord.md,discord.md,meta-llama/Meta-Llama-3.1-70B-Instruct,meta-llama_Meta-Llama-3.1-70B-Instruct,HIGH,True,7,5.6,Medium,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:L/VI:H/VA:N/SC:L/SI:H/SA:N/E:P,Network,Low,Low,Passive,6.1,MEDIUM,2,1,2,2,2,COMMAND/SHELL INJECTION,2026-04-10T16:38:54.231439,
