model,variant,tp,fp,fn,tn,excluded,catch_rate,miss_rate,correct_alarm
cryptidbleh_gemma4-claude-sonnet-4.6,prompts_cvss4_0_a,3,12,0,5,0,1.0,0.0,0.2
gemma4_latest,prompts_cvss4_0_a,10,28,0,8,2,1.0,0.0,0.2631578947368421
qwen3.5_latest,prompts_cvss4_0_a,0,7,0,3,21,,,0.0
cryptidbleh_gemma4-claude-sonnet-4.6,prompts_cvss4_0_b,2,9,0,6,3,1.0,0.0,0.18181818181818182
gemma4_latest,prompts_cvss4_0_b,3,10,0,1,6,1.0,0.0,0.23076923076923078
qwen3.5_latest,prompts_cvss4_0_b,0,2,0,0,18,,,0.0
cryptidbleh_gemma4-claude-sonnet-4.6,prompts_cvss4_0_c,0,14,0,4,2,,,0.0
gemma4_latest,prompts_cvss4_0_c,6,12,0,1,1,1.0,0.0,0.3333333333333333
qwen3.5_latest,prompts_cvss4_0_c,0,0,0,0,20,,,
cryptidbleh_gemma4-claude-sonnet-4.6,prompts_cvss4_0_d,1,14,0,2,3,1.0,0.0,0.06666666666666667
gemma4_latest,prompts_cvss4_0_d,3,9,0,1,7,1.0,0.0,0.25
qwen3.5_latest,prompts_cvss4_0_d,0,5,0,0,15,,,0.0
cryptidbleh_gemma4-claude-sonnet-4.6,prompts_cvss4_0_e,2,14,1,3,0,0.6666666666666666,0.3333333333333333,0.125
gemma4_latest,prompts_cvss4_0_e,3,14,0,2,1,1.0,0.0,0.17647058823529413
qwen3.5_latest,prompts_cvss4_0_e,0,1,0,0,19,,,0.0
