model,skill,verdict,confidence,n_valid_runs,unanimous
cryptidbleh_gemma4-claude-sonnet-4.6,agent-browser-clawdbot,Flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,api-gateway,Flagged,4/4,4,False
cryptidbleh_gemma4-claude-sonnet-4.6,auto-updater,Flagged,3/3,3,False
cryptidbleh_gemma4-claude-sonnet-4.6,clawddocs,Not flagged,2/4,4,False
cryptidbleh_gemma4-claude-sonnet-4.6,desktop-control,Flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,free-ride,Flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,github,Not flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,gog,Flagged,2/3,3,False
cryptidbleh_gemma4-claude-sonnet-4.6,humanizer,Not flagged,5/5,5,True
cryptidbleh_gemma4-claude-sonnet-4.6,multi-search-engine,Not flagged,5/5,5,True
cryptidbleh_gemma4-claude-sonnet-4.6,nano-banana-pro,Flagged,3/4,4,False
cryptidbleh_gemma4-claude-sonnet-4.6,obsidian,Not flagged,5/5,5,True
cryptidbleh_gemma4-claude-sonnet-4.6,ontology,Flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,openai-whisper,Not flagged,5/5,5,True
cryptidbleh_gemma4-claude-sonnet-4.6,proactive-agent,Not flagged,5/5,5,True
cryptidbleh_gemma4-claude-sonnet-4.6,self-improving-agent,Not flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,self-improving,Not flagged,3/4,4,False
cryptidbleh_gemma4-claude-sonnet-4.6,skill-vetter,Not flagged,4/5,5,False
cryptidbleh_gemma4-claude-sonnet-4.6,weather,Not flagged,5/5,5,True
cryptidbleh_gemma4-claude-sonnet-4.6,youtube-watcher,Not flagged,4/5,5,False
gemma4_latest,agent-browser-clawdbot,Flagged,3/3,3,False
gemma4_latest,api-gateway,Flagged,5/5,5,True
gemma4_latest,auto-updater,Flagged,4/4,4,False
gemma4_latest,clawddocs,Flagged,4/5,5,False
gemma4_latest,desktop-control,Flagged,5/5,5,True
gemma4_latest,free-ride,Flagged,5/5,5,True
gemma4_latest,github,Flagged,2/3,3,False
gemma4_latest,gog,Flagged,3/3,3,False
gemma4_latest,humanizer,Flagged,4/4,4,False
gemma4_latest,multi-search-engine,Not flagged,3/5,5,False
gemma4_latest,nano-banana-pro,Flagged,4/5,5,False
gemma4_latest,obsidian,Flagged,3/3,3,False
gemma4_latest,ontology,Flagged,3/3,3,False
gemma4_latest,openai-whisper,Flagged,5/5,5,True
gemma4_latest,proactive-agent,Flagged,5/5,5,True
gemma4_latest,self-improving-agent,Flagged,2/2,2,False
gemma4_latest,self-improving,Flagged,5/5,5,True
gemma4_latest,skill-vetter,Flagged,4/5,5,False
gemma4_latest,weather,Not flagged,4/5,5,False
gemma4_latest,youtube-watcher,Flagged,5/5,5,True
qwen3.5_latest,auto-updater,Flagged,2/2,2,False
qwen3.5_latest,clawddocs,Not flagged,1/1,1,False
qwen3.5_latest,desktop-control,Flagged,1/1,1,False
qwen3.5_latest,github,Flagged,1/1,1,False
qwen3.5_latest,humanizer,Not flagged,2/2,2,False
qwen3.5_latest,nano-banana-pro,Not flagged,1/1,1,False
qwen3.5_latest,proactive-agent,Flagged,1/1,1,False
qwen3.5_latest,self-improving-agent,Flagged,1/1,1,False
qwen3.5_latest,skill-vetter,Not flagged,1/2,2,False
qwen3.5_latest,youtube-watcher,Not flagged,2/2,2,False
