model,skill,cvss_base_score_mean,cvss_base_score_sd,cvss_base_score_n,sars_score_mean,sars_score_sd,sars_score_n,vulnerability_count_mean,vulnerability_count_sd,vulnerability_count_n,overall_risk_mode,overall_risk_agreement,overall_risk_n,cvss_severity_mode,cvss_severity_agreement,cvss_severity_n,sars_severity_mode,sars_severity_agreement,sars_severity_n,is_vulnerable_flag_rate,is_vulnerable_n,purpose_text_n,purpose_text_tfidf_cosine,purpose_text_embedding_cosine
cryptidbleh_gemma4-claude-sonnet-4.6,agent-browser-clawdbot,8.2800,0.4970,5,8.1000,0.9460,5,7.0000,2.3452,5,High,0.8000,5,High,1.0000,5,High,0.6000,5,1.0000,5,5,0.2846,0.8131
cryptidbleh_gemma4-claude-sonnet-4.6,api-gateway,7.9750,0.6652,4,8.6250,0.5377,4,4.7500,0.9574,4,High,1.0000,4,High,1.0000,4,High,0.7500,4,1.0000,4,4,0.2757,0.8052
cryptidbleh_gemma4-claude-sonnet-4.6,auto-updater,8.1000,1.0392,3,8.0000,0.0000,3,3.6667,0.5774,3,High,1.0000,3,High,0.6667,3,High,1.0000,3,1.0000,3,3,0.1988,0.7289
cryptidbleh_gemma4-claude-sonnet-4.6,clawddocs,7.2250,0.2630,4,6.8500,2.1610,4,5.7500,2.8723,4,High,0.5000,4,High,1.0000,4,High,0.5000,4,1.0000,4,4,0.2027,0.7871
cryptidbleh_gemma4-claude-sonnet-4.6,desktop-control,7.9000,1.4543,5,6.3000,1.8762,5,2.2000,1.3038,5,High,0.8000,5,High,0.8000,5,Medium,0.6000,5,0.8000,5,5,0.2738,0.8591
cryptidbleh_gemma4-claude-sonnet-4.6,free-ride,7.7800,0.6181,5,7.5600,1.2116,5,6.0000,1.5811,5,High,0.8000,5,High,1.0000,5,High,0.6000,5,1.0000,5,5,0.2968,0.7075
cryptidbleh_gemma4-claude-sonnet-4.6,github,4.6600,4.2858,5,4.4200,3.0244,5,1.6000,1.8166,5,Medium,0.4000,5,High,0.6000,5,Medium,0.4000,5,0.6000,5,5,0.2083,0.8250
cryptidbleh_gemma4-claude-sonnet-4.6,gog,7.3667,0.0577,3,7.1333,1.3051,3,3.6667,1.1547,3,High,0.6667,3,High,1.0000,3,High,0.6667,3,1.0000,3,3,0.2456,0.8290
cryptidbleh_gemma4-claude-sonnet-4.6,humanizer,2.4400,2.8005,5,3.6200,2.2477,5,1.8000,1.3038,5,Low,0.6000,5,Medium,0.4000,5,Medium,0.6000,5,0.6000,5,5,0.1749,0.7358
cryptidbleh_gemma4-claude-sonnet-4.6,multi-search-engine,4.6400,3.3612,5,4.3200,1.5139,5,0.8000,0.8367,5,Medium,0.6000,5,High,0.4000,5,Low,0.6000,5,0.6000,5,5,0.1943,0.6709
cryptidbleh_gemma4-claude-sonnet-4.6,nano-banana-pro,6.8750,0.8500,4,7.3000,1.6166,4,5.0000,1.4142,4,High,0.7500,4,High,0.7500,4,High,0.5000,4,1.0000,4,4,0.3447,0.7885
cryptidbleh_gemma4-claude-sonnet-4.6,obsidian,7.1200,1.0616,5,5.4200,0.9628,5,3.4000,0.5477,5,Medium,1.0000,5,High,0.6000,5,Medium,1.0000,5,1.0000,5,5,0.2958,0.8260
cryptidbleh_gemma4-claude-sonnet-4.6,ontology,7.3000,0.1000,5,8.4400,0.2608,5,8.2000,4.1473,5,High,0.8000,5,High,1.0000,5,High,1.0000,5,1.0000,5,5,0.2352,0.7647
cryptidbleh_gemma4-claude-sonnet-4.6,openai-whisper,3.5400,4.8485,5,2.9000,2.0199,5,1.0000,1.4142,5,Low,0.6000,5,None,0.6000,5,Low,0.6000,5,0.4000,5,5,0.1938,0.7945
cryptidbleh_gemma4-claude-sonnet-4.6,proactive-agent,6.2400,2.8650,5,6.2400,0.6768,5,2.0000,1.0000,5,Medium,1.0000,5,High,0.8000,5,Medium,1.0000,5,0.2000,5,5,0.3339,0.8702
cryptidbleh_gemma4-claude-sonnet-4.6,self-improving-agent,7.0800,1.5057,5,6.9800,1.2637,5,3.6000,0.5477,5,Medium,0.8000,5,High,0.6000,5,Medium,0.6000,5,1.0000,5,5,0.1721,0.6838
cryptidbleh_gemma4-claude-sonnet-4.6,self-improving,7.2500,0.0577,4,7.9750,0.9465,4,3.2500,0.5000,4,Medium,0.7500,4,High,1.0000,4,High,0.7500,4,1.0000,4,4,0.2511,0.7128
cryptidbleh_gemma4-claude-sonnet-4.6,skill-vetter,2.5000,3.4886,5,3.0400,3.1714,5,3.2000,5.0695,5,Low,0.8000,5,None,0.6000,5,Low,0.8000,5,0.2000,5,5,0.2165,0.7777
cryptidbleh_gemma4-claude-sonnet-4.6,weather,3.6400,4.9863,5,2.5400,1.4241,5,1.2000,1.3038,5,Low,0.6000,5,None,0.6000,5,Low,0.6000,5,0.4000,5,5,0.2255,0.6967
cryptidbleh_gemma4-claude-sonnet-4.6,youtube-watcher,7.5200,0.4494,5,6.3200,1.3646,5,3.8000,1.7889,5,Medium,0.8000,5,High,1.0000,5,Medium,0.8000,5,1.0000,5,5,0.3441,0.7844
gemma4_latest,agent-browser-clawdbot,9.3000,0.0000,3,9.7667,0.4041,3,12.3333,4.6188,3,Critical,1.0000,3,Critical,1.0000,3,Critical,1.0000,3,1.0000,3,3,0.2835,0.7308
gemma4_latest,api-gateway,8.8600,0.4037,5,10.0000,0.0000,5,4.8000,1.7889,5,Critical,1.0000,5,High,0.6000,5,Critical,1.0000,5,1.0000,5,5,0.1675,0.7503
gemma4_latest,auto-updater,9.3000,0.0000,4,9.2250,0.3500,4,9.7500,3.7749,4,Critical,1.0000,4,Critical,1.0000,4,Critical,0.7500,4,1.0000,4,4,0.2066,0.8012
gemma4_latest,clawddocs,8.9200,0.8497,5,7.9400,1.0714,5,7.2000,4.7117,5,Critical,0.8000,5,Critical,0.8000,5,High,0.8000,5,1.0000,5,5,0.2024,0.7038
gemma4_latest,desktop-control,9.2400,0.1342,5,9.2000,1.0954,5,7.6000,4.5607,5,Critical,1.0000,5,Critical,1.0000,5,Critical,0.6000,5,1.0000,5,5,0.1767,0.7773
gemma4_latest,free-ride,9.3000,0.0000,5,8.7000,0.0000,5,10.4000,4.2190,5,Critical,1.0000,5,Critical,1.0000,5,High,1.0000,5,1.0000,5,5,0.2525,0.7564
gemma4_latest,github,9.3000,0.0000,3,5.0667,0.2309,3,1.3333,0.5774,3,High,0.6667,3,Critical,1.0000,3,Medium,1.0000,3,1.0000,3,3,0.2237,0.8413
gemma4_latest,gog,8.9333,0.4041,3,9.0667,0.8145,3,7.6667,6.3509,3,Critical,1.0000,3,Critical,0.6667,3,High,0.6667,3,1.0000,3,3,0.2070,0.8782
gemma4_latest,humanizer,7.4250,1.0243,4,7.6250,0.6602,4,3.5000,2.5166,4,Critical,0.5000,4,High,0.7500,4,High,0.7500,4,1.0000,4,4,0.2308,0.8049
gemma4_latest,multi-search-engine,4.0600,4.1561,5,4.8400,2.6216,5,1.4000,1.5166,5,High,0.4000,5,Low,0.4000,5,Medium,0.4000,5,0.8000,5,5,0.1398,0.7839
gemma4_latest,nano-banana-pro,8.1200,1.4429,5,8.5600,0.3130,5,4.4000,1.9494,5,Critical,0.6000,5,Critical,0.4000,5,High,1.0000,5,1.0000,5,5,0.2220,0.7723
gemma4_latest,obsidian,8.7667,0.9238,3,7.7667,1.6166,3,6.6667,4.0415,3,Critical,0.6667,3,Critical,0.6667,3,High,0.6667,3,1.0000,3,3,0.2351,0.6695
gemma4_latest,ontology,8.5333,0.0577,3,9.1333,0.3786,3,5.6667,1.1547,3,Critical,1.0000,3,High,1.0000,3,Critical,0.6667,3,1.0000,3,3,0.2899,0.8286
gemma4_latest,openai-whisper,9.3000,0.0000,5,8.1000,0.3937,5,1.2000,0.4472,5,Critical,1.0000,5,Critical,1.0000,5,High,1.0000,5,1.0000,5,5,0.2387,0.7644
gemma4_latest,proactive-agent,8.6000,0.6819,5,9.8800,0.2683,5,9.4000,3.7815,5,Critical,1.0000,5,High,0.6000,5,Critical,1.0000,5,1.0000,5,5,0.2002,0.7163
gemma4_latest,self-improving-agent,8.0000,0.7071,2,9.4000,0.0000,2,8.0000,2.8284,2,Critical,1.0000,2,High,1.0000,2,Critical,1.0000,2,1.0000,2,2,0.3570,0.8273
gemma4_latest,self-improving,7.8800,0.5675,5,8.7000,0.0000,5,6.8000,4.8166,5,Critical,0.8000,5,High,1.0000,5,High,1.0000,5,1.0000,5,5,0.1729,0.7313
gemma4_latest,skill-vetter,7.1000,3.9799,5,6.7400,2.9771,5,3.8000,2.5884,5,Critical,0.6000,5,Critical,0.4000,5,High,0.8000,5,0.8000,5,5,0.1540,0.7562
gemma4_latest,weather,1.8600,4.1591,5,1.3000,1.5149,5,0.2000,0.4472,5,None,0.8000,5,None,0.8000,5,Low,0.6000,5,0.2000,5,5,0.2202,0.8237
gemma4_latest,youtube-watcher,7.9400,1.3667,5,7.3600,1.1238,5,4.6000,2.3022,5,Critical,0.8000,5,Critical,0.4000,5,High,0.8000,5,1.0000,5,5,0.2147,0.6804
qwen3.5_latest,agent-browser-clawdbot,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,api-gateway,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,auto-updater,6.8000,0.9899,2,6.1000,0.0000,2,4.0000,0.0000,2,High,1.0000,2,High,0.5000,2,Medium,1.0000,2,1.0000,2,2,0.1909,0.8481
qwen3.5_latest,clawddocs,0.5000,0.0000,1,4.1000,0.0000,1,3.0000,0.0000,1,Medium,1.0000,1,Low,1.0000,1,Medium,1.0000,1,1.0000,1,1,,
qwen3.5_latest,desktop-control,9.4000,0.0000,1,7.2000,0.0000,1,8.0000,0.0000,1,High,1.0000,1,Critical,1.0000,1,High,1.0000,1,1.0000,1,1,,
qwen3.5_latest,free-ride,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,github,9.4000,0.0000,1,6.7000,0.0000,1,6.0000,0.0000,1,High,1.0000,1,Critical,1.0000,1,Medium,1.0000,1,1.0000,1,1,,
qwen3.5_latest,gog,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,humanizer,5.4000,5.7983,2,4.7500,0.9192,2,4.0000,0.0000,2,Medium,1.0000,2,Critical,0.5000,2,Medium,1.0000,2,1.0000,2,2,0.4162,0.8972
qwen3.5_latest,multi-search-engine,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,nano-banana-pro,8.4000,0.0000,1,4.1000,0.0000,1,3.0000,0.0000,1,Medium,1.0000,1,High,1.0000,1,Medium,1.0000,1,1.0000,1,1,,
qwen3.5_latest,obsidian,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,ontology,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,openai-whisper,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,proactive-agent,7.5000,0.0000,1,8.1000,0.0000,1,12.0000,0.0000,1,Critical,1.0000,1,High,1.0000,1,High,1.0000,1,1.0000,1,1,,
qwen3.5_latest,self-improving-agent,7.4000,0.0000,1,8.1000,0.0000,1,8.0000,0.0000,1,Critical,1.0000,1,High,1.0000,1,High,1.0000,1,1.0000,1,1,,
qwen3.5_latest,self-improving,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,skill-vetter,4.6000,4.1012,2,5.0000,2.4042,2,4.0000,4.2426,2,High,0.5000,2,High,0.5000,2,Medium,0.5000,2,0.5000,2,2,0.1980,0.6692
qwen3.5_latest,weather,,0.0000,0,,0.0000,0,,0.0000,0,,,0,,,0,,,0,,0,0,,
qwen3.5_latest,youtube-watcher,7.6000,0.2828,2,4.7500,0.9192,2,3.0000,0.0000,2,Medium,1.0000,2,High,1.0000,2,Medium,1.0000,2,1.0000,2,2,0.4332,0.8945
