pair,word_tfidf_cosine,char_ngram_cosine,jaccard_content_words,embedding_cosine
a-b,0.8445111808030453,0.9745310896380321,0.645679012345679,0.844794750213623
a-c,0.8615694989486546,0.9734718942700056,0.73,0.8772189021110535
a-d,0.8041017785106903,0.9673422923876908,0.6105882352941177,0.7549656629562378
a-e,0.7445310839532384,0.9594016383478956,0.7269180754226268,0.8240519165992737
b-c,0.789959285333646,0.9564354562850976,0.5779294653014789,0.7881760001182556
b-d,0.7810937536532774,0.9688777523638155,0.6160188457008245,0.7700556516647339
b-e,0.7010022848945079,0.9474861658655285,0.6172539489671932,0.7648722529411316
c-d,0.7491093080651766,0.9497202883419411,0.5417118093174431,0.6642426252365112
c-e,0.7234862446614434,0.9567678869677279,0.7146401985111662,0.8151503801345825
d-e,0.6369718295030926,0.9345565116882538,0.5712643678160919,0.6370995044708252
